Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads
"Securitas Sverige AB",https://www.linkedin.com/company/securitas-sverige-ab,Very High,252,255,192,,4,,,
"Kalmar kommun",https://www.linkedin.com/company/kalmar-municipality,Very High,218,216,192,,8,,,
"Kraftringen",https://www.linkedin.com/company/kraftringen,Very High,397,404,191,4,16,,,
"Falkenbergs kommun",https://www.linkedin.com/company/falkenbergs-kommun,Very High,92,100,191,,12,,,
"Duni Group",https://www.linkedin.com/company/duni-group,Very High,141,142,191,,,,,
"AI Sweden",https://www.linkedin.com/company/aisweden,Medium,26,22,190,,,,,
"Gävle kommun",https://www.linkedin.com/company/gavle-kommun,Very High,139,140,190,,3,,,
"Region Västmanland",https://www.linkedin.com/company/region-vastmanland,Very High,90,91,188,,,,,
"Hitachi Energy",https://www.linkedin.com/company/hitachienergy,High,68,55,187,,3,,,
"Softhouse",https://www.linkedin.com/company/softhouse,Medium,18,18,187,,,,,
"Ludvig & Co",https://www.linkedin.com/company/ludvigco,High,40,43,186,,6,,,
"Solna stad",https://www.linkedin.com/company/solna-stad,Very High,95,98,185,,,,,
"PostNord Sverige",https://www.linkedin.com/company/postnord-sverige,Very High,351,333,185,,12,,,
"Forenede Care AB",https://www.linkedin.com/company/forenedecareab,Very High,296,315,183,,18,,,
"World Maritime University",https://www.linkedin.com/company/wmuhq,Medium,22,6,183,,6,,,
"Företagare",https://www.linkedin.com/company/företagare,Very High,131,137,182,,8,,,
"Stiftelsen Bladins skola - Bladins Foundation",https://www.linkedin.com/company/stiftelsen-bladins-skola,Very High,277,288,182,,28,,,
"ONE Nordic AB",https://www.linkedin.com/company/one-nordic-ab,Very High,83,85,182,,,,,
"Damovo",https://www.linkedin.com/company/damovo,Very Low,,,182,,,,,
"Knowit",https://www.linkedin.com/company/knowit,Very High,94,98,182,,4,,,
"Coop Sverige",https://www.linkedin.com/company/coopsverige,Very High,401,421,181,5,15,,,
"HCLTech",https://www.linkedin.com/company/hcltech,Very Low,,,181,,,,,
"Bromölla kommun",https://www.linkedin.com/company/brom-lla-kommun,Very High,108,111,180,,4,,,
"Attendo",https://www.linkedin.com/company/attendo-sverige,Very High,318,343,180,,7,,,
"LundaEkonomerna",https://www.linkedin.com/company/lundaekonomerna,High,25,25,179,,6,,,
"Landskrona Omsorg AB",https://www.linkedin.com/company/landskrona-omsorg,Very High,213,214,178,4,7,,,
"Elkjøp Norge AS",https://www.linkedin.com/company/elkjøp-norge-as,Very Low,,,178,,,,,
"Karolinska Institutet",https://www.linkedin.com/company/karolinska-institutet,Very High,111,114,178,,,,,
"Lundakarnevalen",https://www.linkedin.com/company/lundakarnevalen,Very High,122,80,177,,6,,,
"Gislaveds kommun",https://www.linkedin.com/company/gislaveds-kommun,Very High,89,104,176,,3,,,
"Umeå universitet",https://www.linkedin.com/company/umea-universitet,High,50,48,175,,13,,,
"Infosys",https://www.linkedin.com/company/infosys,Medium,23,23,175,,,,,
"Sveriges Domstolar",https://www.linkedin.com/company/sveriges-domstolar,Very High,107,106,174,,13,,,
"Capio Sverige",https://www.linkedin.com/company/capio-sverige,Very High,87,88,173,4,14,,,
"Studentlitteratur",https://www.linkedin.com/company/studentlitteratur,High,43,37,173,3,15,,,
"Sveriges Kommuner och Regioner",https://www.linkedin.com/company/sveriges-kommuner-och-regioner,Very High,193,204,173,,8,,,
"Lidl Sverige",https://www.linkedin.com/company/lidl-sverige,Very High,170,144,172,,20,,,
"Azets",https://www.linkedin.com/company/azets,Very High,180,189,170,,5,,,
"Omegapoint",https://www.linkedin.com/company/omegapoint,High,56,49,170,,,,,
"Ale kommun",https://www.linkedin.com/company/ale-kommun,Very High,82,91,169,,5,,,
"Martin & Servera",https://www.linkedin.com/company/martin-&-servera,High,26,26,169,,4,,,
"Lantmäteriet",https://www.linkedin.com/company/lantmateriet,Very High,253,232,168,,4,,,
"Perstorp Group",https://www.linkedin.com/company/perstorp-group,Very High,54,55,168,,7,,,
"Åklagarmyndigheten",https://www.linkedin.com/company/aklagarmyndigheten,Very High,182,190,167,3,9,,,
"Älmhults kommun",https://www.linkedin.com/company/almhults-kommun,Very High,193,196,166,,6,,,
"Myndigheten för civilt försvar",https://www.linkedin.com/company/myndigheten-for-civilt-forsvar,Very High,123,126,166,5,11,,,
"Arbetsmarknadsförvaltningen Helsingborg",https://www.linkedin.com/company/arbetsmarknadsförvaltningen,Very High,130,118,165,,9,,,
"Swedavia AB",https://www.linkedin.com/company/swedavia-ab,Very High,225,193,165,,6,,,
"ABB",https://www.linkedin.com/company/abb,Very High,224,230,163,,7,,,
"Region Stockholm",https://www.linkedin.com/company/regionstockholm,Very High,172,180,163,,4,,,
"Sollentuna kommun",https://www.linkedin.com/company/sollentuna-kommun,Very High,174,165,162,,,,,
"Apoteket",https://www.linkedin.com/company/apoteket-ab,Very High,207,204,162,,4,,,
"Region Jönköpings län",https://www.linkedin.com/company/regionjkpg,High,46,45,161,4,4,,,
"Södertälje kommun",https://www.linkedin.com/company/sodertalje-kommun,Very High,105,108,161,,,,,
"Advokatfirman Lindahl",https://www.linkedin.com/company/advokatfirman-lindahl,High,37,38,161,,6,,,
"Tata Consultancy Services",https://www.linkedin.com/company/tata-consultancy-services,Medium,24,23,161,,,,,
"Tillväxtverket",https://www.linkedin.com/company/tillvaxtverket,Very High,171,176,160,,16,,,
"Region Kronoberg",https://www.linkedin.com/company/regionkronoberg,Very High,90,90,160,,5,,,
"Kuehne+Nagel",https://www.linkedin.com/company/kuehne-nagel,Very High,88,88,160,,,,,
"MQ Marqet AB",https://www.linkedin.com/company/mq-marqet-ab,High,34,34,159,,3,,,
